,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5449,-48.679,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186743.393,-187500.022,-187500.022,-187500.022,-187500.022
5450,-48.684,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186723.255,-187500.022,-187500.022,-187500.022,-187500.022
5451,-48.689,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186733.603,-187500.022,-187500.022,-187500.022,-187500.022
5452,-48.694,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186708.681,-187500.022,-187500.022,-187500.022,-187500.022
5453,-48.699,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186726.339,-187500.022,-187500.022,-187500.022,-187500.022
5454,-48.703,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186696.097,-187500.022,-187500.022,-187500.022,-187500.022
5455,-48.708,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186717.287,-187500.022,-187500.022,-187500.022,-187500.022
5456,-48.712,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186683.871,-187500.022,-187500.022,-187500.022,-187500.022
5457,-48.741,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186704.524,-187500.022,-187500.022,-187500.022,-187500.022
5458,-48.746,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186669.901,-187500.022,-187500.022,-187500.022,-187500.022
5459,-48.750,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186694.197,-187500.022,-187500.022,-187500.022,-187500.022
5460,-48.755,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186663.709,-187500.022,-187500.022,-187500.022,-187500.022
5461,-48.760,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186685.122,-187500.022,-187500.022,-187500.022,-187500.022
5462,-48.765,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186653.606,-187500.022,-187500.022,-187500.022,-187500.022
5463,-48.769,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186671.868,-187500.022,-187500.022,-187500.022,-187500.022
5464,-48.800,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186644.778,-187500.022,-187500.022,-187500.022,-187500.022
5465,-48.805,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186659.329,-187500.022,-187500.022,-187500.022,-187500.022
5466,-48.809,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186637.759,-187500.022,-187500.022,-187500.022,-187500.022
5467,-48.814,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186647.124,-187500.022,-187500.022,-187500.022,-187500.022
5468,-48.819,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186630.741,-187500.022,-187500.022,-187500.022,-187500.022
5469,-48.824,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186633.423,-187500.022,-187500.022,-187500.022,-187500.022
5470,-48.829,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186625.197,-187500.022,-187500.022,-187500.022,-187500.022
5471,-48.833,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186616.771,-187500.022,-187500.022,-187500.022,-187500.022
5472,-48.861,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186616.234,-187500.022,-187500.022,-187500.022,-187500.022
5473,-48.865,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186602.645,-187500.022,-187500.022,-187500.022,-187500.022
5474,-48.870,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186612.859,-187500.022,-187500.022,-187500.022,-187500.022
5475,-48.874,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186590.955,-187500.022,-187500.022,-187500.022,-187500.022
5476,-48.879,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186604.544,-187500.022,-187500.022,-187500.022,-187500.022
5477,-48.884,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186575.286,-187500.022,-187500.022,-187500.022,-187500.022
