eeg1,eeg2,eeg3,eeg4,eeg5,time
-946.77734375, 968.75, 400.390625, 968.26171875, 0.0, 1622079574.5439444
413.57421875, 968.75, 432.12890625, 968.26171875, 0.0, 1622079574.5478506
-1000.0, 968.75, 423.828125, 968.75, 0.0, 1622079574.5517569
-1000.0, 968.75, 242.1875, 968.75, 0.0, 1622079574.555663
381.34765625, 968.75, 160.64453125, 968.26171875, 0.0, 1622079574.5595694
993.65234375, 968.75, 222.65625, 968.75, 0.0, 1622079574.5634756
-520.5078125, 968.75, 260.7421875, 968.26171875, 0.0, 1622079574.5673819
-1000.0, 969.23828125, 245.60546875, 968.26171875, 0.0, 1622079574.571288
-113.76953125, 968.75, 273.4375, 968.75, 0.0, 1622079574.5751944
-813.96484375, 968.75, 387.6953125, 968.75, 0.0, 1622079574.5791006
165.52734375, 968.75, 603.515625, 968.75, 0.0, 1622079574.5830069
-1000.0, 969.23828125, 731.4453125, 968.75, 0.0, 1622079574.586913
-256.34765625, 968.75, 753.90625, 968.26171875, 0.0, 1622079574.5908194
-812.5, 968.75, 893.06640625, 968.26171875, 0.0, 1622079574.5947256
266.6015625, 968.75, 976.5625, 968.75, 0.0, 1622079574.5986319
-1000.0, 968.75, 964.35546875, 968.26171875, 0.0, 1622079574.602538
-587.40234375, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.6064444
-965.33203125, 968.26171875, 968.75, 967.7734375, 0.0, 1622079574.6103506
630.37109375, 969.7265625, 968.75, 968.75, 0.0, 1622079574.6142569
-928.22265625, 963.8671875, 968.26171875, 968.26171875, 0.0, 1622079574.618163
-1000.0, 964.35546875, 968.75, 962.40234375, 0.0, 1622079574.6220694
356.93359375, 961.42578125, 968.75, 963.8671875, 0.0, 1622079574.6259756
-902.34375, 852.5390625, 968.75, 974.12109375, 0.0, 1622079574.6298819
-325.1953125, 740.234375, 968.75, 953.61328125, 0.0, 1622079574.633788
-1000.0, 878.41796875, 968.75, 937.01171875, 0.0, 1622079574.6376944
-198.2421875, 883.30078125, 968.75, 962.40234375, 0.0, 1622079574.6416006
-833.984375, 642.08984375, 968.75, 982.91015625, 0.0, 1622079574.6455069
186.03515625, 524.90234375, 968.26171875, 907.71484375, 0.0, 1622079574.649413
-1000.0, 693.359375, 968.26171875, 853.02734375, 0.0, 1622079574.6533194
-381.34765625, 706.0546875, 968.75, 873.046875, 0.0, 1622079574.6572256
-859.375, 468.75, 968.26171875, 896.484375, 0.0, 1622079574.6611319
257.8125, 416.9921875, 968.26171875, 854.00390625, 0.0, 1622079574.665038
-1000.0, 477.5390625, 968.75, 778.80859375, 0.0, 1622079574.6689444
-910.64453125, 477.05078125, 968.75, 733.3984375, 0.0, 1622079574.6728506
682.6171875, 413.0859375, 968.75, 752.9296875, 0.0, 1622079574.6767569
655.2734375, 366.2109375, 968.75, 771.484375, 0.0, 1622079574.680663
-913.57421875, 401.3671875, 968.26171875, 690.91796875, 0.0, 1622079574.6845694
-1000.0, 401.85546875, 968.75, 582.51953125, 0.0, 1622079574.6884756
3.90625, 312.98828125, 968.75, 598.14453125, 0.0, 1622079574.6923819
-835.9375, 356.4453125, 968.75, 694.82421875, 0.0, 1622079574.696288
-94.7265625, 382.32421875, 968.75, 595.21484375, 0.0, 1622079574.7001944
-1000.0, 299.8046875, 968.75, 472.16796875, 0.0, 1622079574.7041006
-227.5390625, 243.1640625, 968.75, 494.62890625, 0.0, 1622079574.7080069
-828.125, 389.16015625, 968.75, 687.01171875, 0.0, 1622079574.711913
244.140625, 533.69140625, 968.75, 735.3515625, 0.0, 1622079574.7158194
-1000.0, 339.35546875, 968.75, 503.41796875, 0.0, 1622079574.7197256
-513.18359375, 185.546875, 968.75, 431.15234375, 0.0, 1622079574.7236319
-910.64453125, 539.55078125, 968.75, 692.3828125, 0.0, 1622079574.727538
479.4921875, 817.87109375, 968.75, 868.65234375, 0.0, 1622079574.7314444
-1000.0, 354.00390625, 968.75, 579.1015625, 0.0, 1622079574.7353506
-1000.0, 84.9609375, 968.26171875, 382.32421875, 0.0, 1622079574.7392569
481.93359375, 552.24609375, 968.26171875, 677.734375, 0.0, 1622079574.743163
849.12109375, 590.33203125, 968.75, 777.83203125, 0.0, 1622079574.7470694
-704.58984375, 10.7421875, 968.75, 432.12890625, 0.0, 1622079574.7509756
-1000.0, -31.73828125, 968.75, 307.12890625, 0.0, 1622079574.7548819
-120.60546875, 207.03125, 968.75, 431.15234375, 0.0, 1622079574.758788
-842.7734375, 217.28515625, 968.75, 538.0859375, 0.0, 1622079574.7626944
8.7890625, -34.1796875, 968.75, 395.5078125, 0.0, 1622079574.7666006
-1000.0, -92.7734375, 968.75, 240.72265625, 0.0, 1622079574.7705069
-233.88671875, 334.47265625, 968.75, 410.15625, 0.0, 1622079574.774413
-825.1953125, 361.328125, 968.75, 539.55078125, 0.0, 1622079574.7783194
243.1640625, -100.5859375, 968.26171875, 334.47265625, 0.0, 1622079574.7822256
-1000.0, -62.5, 968.75, 198.2421875, 0.0, 1622079574.7861319
-616.2109375, 42.96875, 968.75, 205.56640625, 0.0, 1622079574.790038
-973.14453125, -9.27734375, 968.75, 325.1953125, 0.0, 1622079574.7939444
492.1875, -100.5859375, 968.26171875, 308.10546875, 0.0, 1622079574.7978506
-1000.0, -73.73046875, 969.23828125, 176.7578125, 0.0, 1622079574.8017569
-1000.0, -34.66796875, 967.28515625, 142.578125, 0.0, 1622079574.805663
275.87890625, -26.3671875, 963.37890625, 250.9765625, 0.0, 1622079574.8095694
-921.38671875, -91.30859375, 965.33203125, 293.45703125, 0.0, 1622079574.8134756
-362.79296875, 10.25390625, 970.703125, 260.7421875, 0.0, 1622079574.8173819
-1000.0, 269.04296875, 964.84375, 291.50390625, 0.0, 1622079574.821288
-194.82421875, 74.21875, 870.1171875, 240.72265625, 0.0, 1622079574.8251944
-843.75, -171.875, 824.70703125, 245.60546875, 0.0, 1622079574.8291006
116.69921875, 91.30859375, 901.85546875, 181.15234375, 0.0, 1622079574.8330069
-1000.0, 273.92578125, 846.19140625, 67.87109375, 0.0, 1622079574.836913
-373.046875, -72.265625, 666.50390625, 51.7578125, 0.0, 1622079574.8408194
-865.234375, -164.0625, 651.85546875, 160.64453125, 0.0, 1622079574.8447256
298.828125, -94.7265625, 755.37109375, 153.3203125, 0.0, 1622079574.8486319
-1000.0, -101.07421875, 739.2578125, 20.5078125, 0.0, 1622079574.852538
-777.34375, -139.6484375, 618.1640625, -3.41796875, 0.0, 1622079574.8564444
746.09375, -205.56640625, 550.29296875, 104.4921875, 0.0, 1622079574.8603506
977.05078125, 353.02734375, 707.03125, 231.4453125, 0.0, 1622079574.8642569
-504.8828125, 405.2734375, 787.59765625, 135.25390625, 0.0, 1622079574.868163
-1000.0, -218.26171875, 609.86328125, -29.78515625, 0.0, 1622079574.8720694
80.078125, -146.97265625, 556.15234375, 102.5390625, 0.0, 1622079574.8759756
-842.7734375, 70.3125, 668.45703125, 267.08984375, 0.0, 1622079574.8798819
-166.9921875, -58.59375, 731.93359375, 152.83203125, 0.0, 1622079574.883788
-1000.0, -187.98828125, 647.94921875, 7.32421875, 0.0, 1622079574.8876944
-222.65625, -74.21875, 560.05859375, 104.00390625, 0.0, 1622079574.8916006
-827.1484375, -47.8515625, 586.42578125, 237.79296875, 0.0, 1622079574.8955069
234.86328125, -106.4453125, 661.62109375, 166.015625, 0.0, 1622079574.899413
-1000.0, -111.328125, 628.90625, 51.7578125, 0.0, 1622079574.9033194
-390.13671875, -41.015625, 534.66796875, 84.9609375, 0.0, 1622079574.9072256
-856.4453125, -33.69140625, 519.04296875, 222.16796875, 0.0, 1622079574.9111319
354.4921875, -88.37890625, 582.51953125, 206.54296875, 0.0, 1622079574.915038
-1000.0, -115.234375, 603.02734375, 60.05859375, 0.0, 1622079574.9189444
-794.921875, 31.73828125, 561.03515625, 97.16796875, 0.0, 1622079574.9228506
793.45703125, 176.26953125, 565.4296875, 286.1328125, 0.0, 1622079574.9267569
851.07421875, -52.24609375, 593.75, 275.87890625, 0.0, 1622079574.930663
-674.8046875, -79.58984375, 602.05078125, 112.3046875, 0.0, 1622079574.9345694
-1000.0, -313.4765625, 568.84765625, 95.703125, 0.0, 1622079574.9384756
0.9765625, -404.78515625, 533.203125, 240.234375, 0.0, 1622079574.9423819
-810.05859375, -39.55078125, 515.625, 280.76171875, 0.0, 1622079574.946288
30.2734375, 0.9765625, 589.35546875, 170.8984375, 0.0, 1622079574.9501944
-1000.0, -49.8046875, 550.29296875, 65.4296875, 0.0, 1622079574.9541006
-240.72265625, -10.25390625, 440.4296875, 129.39453125, 0.0, 1622079574.9580069
-820.3125, 51.26953125, 471.6796875, 251.46484375, 0.0, 1622079574.961913
242.67578125, 37.59765625, 574.70703125, 191.40625, 0.0, 1622079574.9658194
-1000.0, -213.8671875, 586.9140625, 99.609375, 0.0, 1622079574.9697256
-531.73828125, -163.0859375, 463.37890625, 125.9765625, 0.0, 1622079574.9736319
-927.734375, 100.09765625, 427.734375, 229.4921875, 0.0, 1622079574.977538
553.7109375, 43.9453125, 550.29296875, 234.375, 0.0, 1622079574.9814444
-1000.0, 20.01953125, 583.49609375, 98.6328125, 0.0, 1622079574.9853506
-1000.0, 64.453125, 468.75, 47.8515625, 0.0, 1622079574.9892569
442.87109375, 103.515625, 406.25, 161.62109375, 0.0, 1622079574.993163
-881.34765625, 91.796875, 514.16015625, 253.90625, 0.0, 1622079574.9970694
-269.53125, -77.1484375, 637.20703125, 197.265625, 0.0, 1622079575.0009756
-1000.0, -79.1015625, 520.99609375, 61.5234375, 0.0, 1622079575.0048819
-144.53125, 145.5078125, 383.7890625, 86.42578125, 0.0, 1622079575.008788
-811.5234375, -47.8515625, 514.16015625, 270.5078125, 0.0, 1622079575.0126944
167.48046875, -358.3984375, 701.66015625, 280.2734375, 0.0, 1622079575.0166006
-1000.0, -29.78515625, 563.96484375, 58.10546875, 0.0, 1622079575.0205069
-259.765625, 186.5234375, 402.34375, 41.50390625, 0.0, 1622079575.024413
-815.91796875, 103.02734375, 454.58984375, 207.03125, 0.0, 1622079575.0283194
249.51171875, 83.984375, 546.38671875, 166.9921875, 0.0, 1622079575.0322256
-1000.0, 144.04296875, 534.66796875, 21.484375, 0.0, 1622079575.0361319
-642.578125, 166.50390625, 439.453125, 19.53125, 0.0, 1622079575.040038
931.640625, 333.49609375, 466.30859375, 183.10546875, 0.0, 1622079575.0439444
574.70703125, 308.10546875, 557.6171875, 220.703125, 0.0, 1622079575.0478506
-894.53125, 142.578125, 553.7109375, 68.359375, 0.0, 1622079575.0517569
-1000.0, 143.5546875, 455.078125, 0.9765625, 0.0, 1622079575.055663
189.94140625, 247.55859375, 456.54296875, 160.15625, 0.0, 1622079575.0595694
-855.46875, 254.8828125, 548.828125, 245.1171875, 0.0, 1622079575.0634756
-220.21484375, 133.30078125, 565.91796875, 83.49609375, 0.0, 1622079575.0673819
-1000.0, 132.8125, 500.0, 7.32421875, 0.0, 1622079575.071288
-211.42578125, 189.94140625, 427.734375, 104.4921875, 0.0, 1622079575.0751944
-826.171875, 146.484375, 458.0078125, 195.80078125, 0.0, 1622079575.0791006
219.23828125, 91.30859375, 544.921875, 126.953125, 0.0, 1622079575.0830069
-1000.0, 62.5, 516.6015625, 24.90234375, 0.0, 1622079575.086913
-346.6796875, 85.9375, 421.38671875, 51.7578125, 0.0, 1622079575.0908194
-841.30859375, 127.9296875, 450.1953125, 182.12890625, 0.0, 1622079575.0947256
324.70703125, 65.91796875, 523.92578125, 148.92578125, 0.0, 1622079575.0986319
-1000.0, 64.94140625, 546.38671875, 47.36328125, 0.0, 1622079575.102538
-788.57421875, 149.90234375, 508.30078125, 78.125, 0.0, 1622079575.1064444
818.84765625, 108.88671875, 431.640625, 153.80859375, 0.0, 1622079575.1103506
779.296875, 106.93359375, 458.49609375, 149.4140625, 0.0, 1622079575.1142569
-769.53125, -134.27734375, 562.5, 83.984375, 0.0, 1622079575.118163
-1000.0, -339.84375, 526.85546875, 77.63671875, 0.0, 1622079575.1220694
67.3828125, 23.92578125, 393.06640625, 107.91015625, 0.0, 1622079575.1259756
-816.89453125, 143.5546875, 453.125, 176.7578125, 0.0, 1622079575.1298819
-58.10546875, 81.54296875, 540.52734375, 94.7265625, 0.0, 1622079575.133788
-1000.0, 103.02734375, 468.26171875, -19.04296875, 0.0, 1622079575.1376944
-232.421875, 136.71875, 373.046875, 39.55078125, 0.0, 1622079575.1416006
-824.70703125, 132.8125, 395.5078125, 149.4140625, 0.0, 1622079575.1455069
243.1640625, 44.921875, 552.734375, 155.76171875, 0.0, 1622079575.149413
-1000.0, 50.29296875, 541.015625, 50.29296875, 0.0, 1622079575.1533194
-494.140625, 139.6484375, 373.046875, 5.859375, 0.0, 1622079575.1572256
-901.85546875, 151.85546875, 375.48828125, 141.6015625, 0.0, 1622079575.1611319
441.40625, 129.39453125, 483.88671875, 140.13671875, 0.0, 1622079575.165038
-1000.0, 113.28125, 493.65234375, 4.39453125, 0.0, 1622079575.1689444
-975.5859375, 104.98046875, 376.46484375, -31.25, 0.0, 1622079575.1728506
